                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.68839,                0.58117,                 1.1014,                0.89826,                0.85949,                0.90959,                0.71501,                0.85918,                0.63531,                  1.255,               0.007261,               0.007261,               0.007261
                     85,                0.68407,                0.57111,                 1.1026,                0.91264,                0.85301,                0.91053,                0.72429,                0.84858,                 0.6481,                 1.2491,               0.007228,               0.007228,               0.007228
                     86,                0.68426,                0.56984,                 1.0948,                0.89686,                0.86375,                0.90574,                0.72689,                0.83516,                0.65151,                 1.2504,               0.007195,               0.007195,               0.007195
                     87,                0.66597,                0.56389,                 1.0992,                0.91032,                0.86283,                0.91145,                0.73096,                0.83953,                 0.6377,                 1.2524,               0.007162,               0.007162,               0.007162
                     88,                0.68352,                0.56833,                 1.0976,                0.91813,                 0.8441,                0.90825,                0.72584,                0.85201,                0.63949,                 1.2497,               0.007129,               0.007129,               0.007129
                     89,                  0.685,                0.57185,                 1.1003,                0.90561,                0.85103,                0.90679,                0.72212,                0.84278,                0.63069,                 1.2408,               0.007096,               0.007096,               0.007096
                     90,                0.68426,                0.57033,                 1.1064,                0.91625,                0.86568,                0.90465,                0.71228,                 0.8686,                0.63973,                  1.282,               0.007063,               0.007063,               0.007063
                     91,                0.68118,                0.56743,                 1.0988,                0.90049,                0.87348,                0.91303,                0.73015,                 0.8514,                0.61529,                 1.2548,                0.00703,                0.00703,                0.00703
                     92,                0.65953,                0.55612,                 1.0929,                 0.9294,                0.85102,                0.91033,                0.71895,                0.86342,                0.63492,                 1.2556,               0.006997,               0.006997,               0.006997
                     93,                0.67495,                0.56828,                 1.0975,                0.92197,                0.85395,                0.91446,                0.73046,                0.86189,                0.63185,                 1.2549,               0.006964,               0.006964,               0.006964
                     94,                0.66887,                0.55711,                 1.0953,                0.91518,                0.86982,                0.92624,                0.73522,                0.85133,                0.60405,                 1.2496,               0.006931,               0.006931,               0.006931
                     95,                0.65621,                0.55715,                  1.091,                0.93089,                0.84391,                0.92276,                0.73689,                0.85138,                0.60877,                 1.2445,               0.006898,               0.006898,               0.006898
                     96,                0.68095,                0.56918,                 1.1095,                0.92521,                0.86764,                 0.9201,                0.73381,                0.85024,                0.62208,                 1.2371,               0.006865,               0.006865,               0.006865
                     97,                 0.6715,                0.56067,                 1.0971,                0.90872,                0.86296,                0.91974,                0.72755,                0.84653,                0.62753,                 1.2339,               0.006832,               0.006832,               0.006832
                     98,                0.67788,                0.56617,                 1.0999,                0.92638,                0.86995,                0.91527,                0.72143,                0.85364,                0.63085,                  1.242,               0.006799,               0.006799,               0.006799
                     99,                0.66805,                0.55904,                 1.0932,                0.93507,                 0.8635,                0.91864,                 0.7308,                0.82993,                0.61505,                 1.2225,               0.006766,               0.006766,               0.006766
                    100,                 0.6724,                0.57103,                 1.0981,                0.91607,                0.86496,                0.91735,                0.73537,                0.83006,                0.61672,                 1.2153,               0.006733,               0.006733,               0.006733
                    101,                0.66803,                0.56719,                 1.0968,                0.89252,                 0.8842,                0.92145,                0.73643,                0.81917,                0.60411,                  1.212,                 0.0067,                 0.0067,                 0.0067
                    102,                0.67372,                0.55162,                 1.0966,                0.87387,                0.88604,                0.91692,                0.72601,                0.84258,                0.61682,                  1.231,               0.006667,               0.006667,               0.006667
                    103,                0.67643,                0.56939,                 1.1027,                0.92214,                0.85875,                0.92292,                 0.7284,                0.84608,                0.60636,                 1.2334,               0.006634,               0.006634,               0.006634
                    104,                0.66886,                0.55864,                 1.1002,                0.89729,                0.87596,                0.91701,                0.72702,                0.85268,                0.62108,                 1.2385,               0.006601,               0.006601,               0.006601
